Date - Heure,Heure,Consommation_MW
2021-03-01T00:00:00+01:00,00:00,57018.0
2021-03-01T00:30:00+01:00,00:30,56253.0
2021-03-01T01:00:00+01:00,01:00,54327.0
2021-03-01T01:30:00+01:00,01:30,54616.0
2021-03-01T02:00:00+01:00,02:00,54507.0
2021-03-01T02:30:00+01:00,02:30,54223.0
2021-03-01T03:00:00+01:00,03:00,52826.0
2021-03-01T03:30:00+01:00,03:30,52323.0
2021-03-01T04:00:00+01:00,04:00,51567.0
2021-03-01T04:30:00+01:00,04:30,51800.0
2021-03-01T05:00:00+01:00,05:00,52544.0
2021-03-01T05:30:00+01:00,05:30,54965.0
2021-03-01T06:00:00+01:00,06:00,56931.0
2021-03-01T06:30:00+01:00,06:30,60738.0
2021-03-01T07:00:00+01:00,07:00,63637.0
2021-03-01T07:30:00+01:00,07:30,66172.0
2021-03-01T08:00:00+01:00,08:00,67547.0
2021-03-01T08:30:00+01:00,08:30,68219.0
2021-03-01T09:00:00+01:00,09:00,68060.0
2021-03-01T09:30:00+01:00,09:30,67214.0
2021-03-01T10:00:00+01:00,10:00,65706.0
2021-03-01T10:30:00+01:00,10:30,64373.0
2021-03-01T11:00:00+01:00,11:00,62872.0
2021-03-01T11:30:00+01:00,11:30,62034.0
2021-03-01T12:00:00+01:00,12:00,62031.0
2021-03-01T12:30:00+01:00,12:30,61467.0
2021-03-01T13:00:00+01:00,13:00,60890.0
2021-03-01T13:30:00+01:00,13:30,59376.0
2021-03-01T14:00:00+01:00,14:00,57889.0
2021-03-01T14:30:00+01:00,14:30,56421.0
2021-03-01T15:00:00+01:00,15:00,55134.0
2021-03-01T15:30:00+01:00,15:30,54280.0
2021-03-01T16:00:00+01:00,16:00,53727.0
2021-03-01T16:30:00+01:00,16:30,53250.0
2021-03-01T17:00:00+01:00,17:00,53366.0
2021-03-01T17:30:00+01:00,17:30,54092.0
2021-03-01T18:00:00+01:00,18:00,55965.0
2021-03-01T18:30:00+01:00,18:30,58712.0
2021-03-01T19:00:00+01:00,19:00,63872.0
2021-03-01T19:30:00+01:00,19:30,65246.0
2021-03-01T20:00:00+01:00,20:00,63712.0
2021-03-01T20:30:00+01:00,20:30,61390.0
2021-03-01T21:00:00+01:00,21:00,59279.0
2021-03-01T21:30:00+01:00,21:30,57927.0
2021-03-01T22:00:00+01:00,22:00,56619.0
2021-03-01T22:30:00+01:00,22:30,57015.0
2021-03-01T23:00:00+01:00,23:00,59348.0
2021-03-01T23:30:00+01:00,23:30,58723.0
2021-03-02T00:00:00+01:00,00:00,58650.0
2021-03-02T00:30:00+01:00,00:30,57404.0
2021-03-02T01:00:00+01:00,01:00,55410.0
2021-03-02T01:30:00+01:00,01:30,55462.0
2021-03-02T02:00:00+01:00,02:00,55245.0
2021-03-02T02:30:00+01:00,02:30,55025.0
