,RMSE,MAE,P-Value
SARIMA_1_14,2884.545895979346,2290.6825359368218,0.0011113532345815083
SARIMA_reclim_1_14,11685.25721235461,10663.65947037198,0.20074848289828642
SARIMA_9_14,2583.236330654549,1924.7534900546893,0.0056343721387330315
SARIMAX_temp_1_14,1695.8633393682067,1485.5392595782557,3.5525834629517843e-06
SARIMAX_temp_9_14,1861.653965514964,1651.2825392896125,1.0561576734489065e-05
PROPHET_h_9_14,6020.085127556271,5316.304818422717,7.660218592429172e-70
TBATS_h_1_14,5404.311005253229,4593.883461640007,5.506901376668951e-64
TBATS_h_1_14_suite,3067.1636502889332,2403.537223395622,9.555591713334936e-92
TBATS_h_j_1_14,4729.6638418999155,3982.4188714003567,0.025936145488575157
TBATS_reclim_1_14,7762.680478428732,6743.684656813245,0.2931263682610956
TBATS_9_14,2609.9593115865587,2036.0835341160034,0.0030621005391793434
PROPHET_temp_9_14,3480.03771688583,3256.4432981933264,7.3050084824736265e-06
PROPHET_reclim_1_14,13574.965388094304,12726.76719736368,0.309501967613135
PROPHET_9_14,5421.067053907209,4915.70057408682,0.0035276165650587723
PROPHET_demi_9_14,5858.258452836054,5140.956702493817,3.1746031259713245e-68
SARIMAX_temp_8_1,18926.742295335287,16201.867504633152,2.63455049764507e-25
TBATS_8_1,9017.79413767836,8295.23692483394,1.934042526539933e-156
PROPHET_8_1,4612.710951826683,3826.1571256275224,5.78865160367769e-183
PROPHET_demi_8_1,4936.953599776582,3702.3731754541477,0.0
PROPHET_demi_6_2019,4459.583400494242,3284.546649347771,0.0
PROPHET_h_8_1,4855.117886682984,3649.174629395352,0.0
PROPHET_h_j_8_1,4226.084531135712,3103.7631610221983,1.4054103796130138e-171
PROPHET_temp_8_1,4810.570267951026,4252.679058213049,1.8599322406570152e-225
