Date,Consommation (MW),ds,y
2013-03-01,76343.08333333333,2013-03-01,76343.08333333333
2013-03-02,69893.16666666667,2013-03-02,69893.16666666667
2013-03-03,64919.208333333336,2013-03-03,64919.208333333336
2013-03-04,69265.625,2013-03-04,69265.625
2013-03-05,66709.75,2013-03-05,66709.75
2013-03-06,64391.041666666664,2013-03-06,64391.041666666664
2013-03-07,62270.75,2013-03-07,62270.75
2013-03-08,60698.708333333336,2013-03-08,60698.708333333336
2013-03-09,54643.770833333336,2013-03-09,54643.770833333336
2013-03-10,53811.770833333336,2013-03-10,53811.770833333336
2013-03-11,66019.89583333333,2013-03-11,66019.89583333333
2013-03-12,72161.8125,2013-03-12,72161.8125
2013-03-13,76210.125,2013-03-13,76210.125
2013-03-14,75852.35416666667,2013-03-14,75852.35416666667
2013-03-15,75368.08333333333,2013-03-15,75368.08333333333
2013-03-16,67592.54166666667,2013-03-16,67592.54166666667
2013-03-17,62042.166666666664,2013-03-17,62042.166666666664
2013-03-18,69999.0,2013-03-18,69999.0
2013-03-19,69786.1875,2013-03-19,69786.1875
2013-03-20,68474.47916666667,2013-03-20,68474.47916666667
2013-03-21,67916.25,2013-03-21,67916.25
2013-03-22,63963.708333333336,2013-03-22,63963.708333333336
2013-03-23,57333.833333333336,2013-03-23,57333.833333333336
2013-03-24,56380.8125,2013-03-24,56380.8125
2013-03-25,65430.479166666664,2013-03-25,65430.479166666664
2013-03-26,67626.29166666667,2013-03-26,67626.29166666667
2013-03-27,67974.35416666667,2013-03-27,67974.35416666667
2013-03-28,68375.47916666667,2013-03-28,68375.47916666667
2013-03-29,68256.97916666667,2013-03-29,68256.97916666667
2013-03-30,62644.166666666664,2013-03-30,62644.166666666664
2013-03-31,59437.391304347824,2013-03-31,59437.391304347824
2013-04-01,60127.395833333336,2013-04-01,60127.395833333336
2013-04-02,66274.4375,2013-04-02,66274.4375
2013-04-03,66371.8125,2013-04-03,66371.8125
2013-04-04,68072.70833333333,2013-04-04,68072.70833333333
2013-04-05,68306.14583333333,2013-04-05,68306.14583333333
2013-04-06,63113.145833333336,2013-04-06,63113.145833333336
2013-04-07,58215.895833333336,2013-04-07,58215.895833333336
2013-04-08,64219.291666666664,2013-04-08,64219.291666666664
2013-04-09,64040.4375,2013-04-09,64040.4375
2013-04-10,62171.9375,2013-04-10,62171.9375
2013-04-11,59853.9375,2013-04-11,59853.9375
2013-04-12,58333.291666666664,2013-04-12,58333.291666666664
2013-04-13,51683.083333333336,2013-04-13,51683.083333333336
2013-04-14,44459.270833333336,2013-04-14,44459.270833333336
2013-04-15,50014.958333333336,2013-04-15,50014.958333333336
2013-04-16,51223.166666666664,2013-04-16,51223.166666666664
2013-04-17,50265.208333333336,2013-04-17,50265.208333333336
2013-04-18,49889.3125,2013-04-18,49889.3125
2013-04-19,51777.3125,2013-04-19,51777.3125
2013-04-20,49089.333333333336,2013-04-20,49089.333333333336
2013-04-21,46509.395833333336,2013-04-21,46509.395833333336
2013-04-22,53432.854166666664,2013-04-22,53432.854166666664
2013-04-23,53548.666666666664,2013-04-23,53548.666666666664
2013-04-24,51618.083333333336,2013-04-24,51618.083333333336
2013-04-25,49802.166666666664,2013-04-25,49802.166666666664
2013-04-26,50492.0625,2013-04-26,50492.0625
2013-04-27,48790.0625,2013-04-27,48790.0625
2013-04-28,48477.9375,2013-04-28,48477.9375
2013-04-29,55978.479166666664,2013-04-29,55978.479166666664
2013-04-30,56119.708333333336,2013-04-30,56119.708333333336
2013-05-01,46454.875,2013-05-01,46454.875
2013-05-02,52501.5625,2013-05-02,52501.5625
2013-05-03,52158.583333333336,2013-05-03,52158.583333333336
2013-05-04,46108.083333333336,2013-05-04,46108.083333333336
2013-05-05,41957.979166666664,2013-05-05,41957.979166666664
2013-05-06,48240.958333333336,2013-05-06,48240.958333333336
2013-05-07,48173.291666666664,2013-05-07,48173.291666666664
2013-05-08,41943.520833333336,2013-05-08,41943.520833333336
2013-05-09,41118.229166666664,2013-05-09,41118.229166666664
2013-05-10,45045.020833333336,2013-05-10,45045.020833333336
