,MW
2022-02-15 00:00:00,63511.0
2022-02-15 01:00:00,60494.0
2022-02-15 02:00:00,60026.0
2022-02-15 03:00:00,57951.0
2022-02-15 04:00:00,56880.0
2022-02-15 05:00:00,58303.5
2022-02-15 06:00:00,62811.5
2022-02-15 07:00:00,68407.0
2022-02-15 08:00:00,71746.5
2022-02-15 09:00:00,72854.0
2022-02-15 10:00:00,72525.5
2022-02-15 11:00:00,71842.0
2022-02-15 12:00:00,72150.0
2022-02-15 13:00:00,71422.5
2022-02-15 14:00:00,69671.0
2022-02-15 15:00:00,67745.5
2022-02-15 16:00:00,66779.5
2022-02-15 17:00:00,66608.0
2022-02-15 18:00:00,69940.5
2022-02-15 19:00:00,74035.0
2022-02-15 20:00:00,71208.5
2022-02-15 21:00:00,67057.0
2022-02-15 22:00:00,64581.0
2022-02-15 23:00:00,65681.5
2022-02-16 00:00:00,63879.0
2022-02-16 01:00:00,60596.0
2022-02-16 02:00:00,59833.5
2022-02-16 03:00:00,57599.5
2022-02-16 04:00:00,56300.0
2022-02-16 05:00:00,57274.0
2022-02-16 06:00:00,61063.0
2022-02-16 07:00:00,65756.5
2022-02-16 08:00:00,68681.5
2022-02-16 09:00:00,70304.5
2022-02-16 10:00:00,70903.5
2022-02-16 11:00:00,70808.0
2022-02-16 12:00:00,71687.5
2022-02-16 13:00:00,70803.5
2022-02-16 14:00:00,68778.0
2022-02-16 15:00:00,66488.0
2022-02-16 16:00:00,65012.5
2022-02-16 17:00:00,64414.5
2022-02-16 18:00:00,66821.5
2022-02-16 19:00:00,70605.5
2022-02-16 20:00:00,67538.5
2022-02-16 21:00:00,63426.5
2022-02-16 22:00:00,60864.5
2022-02-16 23:00:00,62009.5
2022-02-17 00:00:00,60215.5
2022-02-17 01:00:00,56947.5
2022-02-17 02:00:00,56048.5
2022-02-17 03:00:00,53719.0
2022-02-17 04:00:00,52310.5
2022-02-17 05:00:00,53206.0
2022-02-17 06:00:00,57245.0
2022-02-17 07:00:00,62317.5
2022-02-17 08:00:00,65152.5
2022-02-17 09:00:00,66253.0
2022-02-17 10:00:00,66100.5
2022-02-17 11:00:00,65601.5
2022-02-17 12:00:00,66003.5
2022-02-17 13:00:00,65065.0
2022-02-17 14:00:00,62718.5
2022-02-17 15:00:00,60348.5
2022-02-17 16:00:00,58850.5
2022-02-17 17:00:00,58585.5
2022-02-17 18:00:00,61729.5
2022-02-17 19:00:00,66538.5
2022-02-17 20:00:00,64207.0
2022-02-17 21:00:00,60594.5
2022-02-17 22:00:00,58315.0
2022-02-17 23:00:00,59525.0
2022-02-18 00:00:00,58005.0
2022-02-18 01:00:00,54949.5
2022-02-18 02:00:00,54079.5
2022-02-18 03:00:00,51897.5
2022-02-18 04:00:00,50690.0
2022-02-18 05:00:00,51860.5
2022-02-18 06:00:00,55639.0
2022-02-18 07:00:00,60652.0
2022-02-18 08:00:00,63450.0
2022-02-18 09:00:00,65012.5
2022-02-18 10:00:00,65043.0
2022-02-18 11:00:00,64703.0
2022-02-18 12:00:00,65400.0
2022-02-18 13:00:00,64798.0
2022-02-18 14:00:00,62196.5
2022-02-18 15:00:00,59602.5
2022-02-18 16:00:00,58198.0
2022-02-18 17:00:00,58086.0
2022-02-18 18:00:00,61191.0
2022-02-18 19:00:00,66034.0
2022-02-18 20:00:00,64326.5
2022-02-18 21:00:00,61163.5
2022-02-18 22:00:00,59442.5
2022-02-18 23:00:00,61100.5
2022-02-19 00:00:00,59962.0
2022-02-19 01:00:00,56927.5
2022-02-19 02:00:00,56346.0
2022-02-19 03:00:00,53985.0
2022-02-19 04:00:00,52431.5
2022-02-19 05:00:00,52576.5
2022-02-19 06:00:00,54443.5
2022-02-19 07:00:00,56820.5
2022-02-19 08:00:00,58597.5
2022-02-19 09:00:00,61210.5
2022-02-19 10:00:00,61562.0
2022-02-19 11:00:00,61002.5
2022-02-19 12:00:00,61689.5
2022-02-19 13:00:00,61252.0
2022-02-19 14:00:00,58194.0
2022-02-19 15:00:00,56258.5
2022-02-19 16:00:00,55049.0
2022-02-19 17:00:00,55330.0
2022-02-19 18:00:00,59166.5
2022-02-19 19:00:00,64278.5
2022-02-19 20:00:00,63136.5
2022-02-19 21:00:00,60486.0
2022-02-19 22:00:00,59081.5
2022-02-19 23:00:00,61157.0
2022-02-20 00:00:00,59898.5
2022-02-20 01:00:00,56963.0
2022-02-20 02:00:00,55797.5
2022-02-20 03:00:00,53126.5
2022-02-20 04:00:00,51194.5
2022-02-20 05:00:00,50788.0
2022-02-20 06:00:00,51692.0
2022-02-20 07:00:00,52975.5
2022-02-20 08:00:00,53848.5
2022-02-20 09:00:00,56168.5
2022-02-20 10:00:00,57904.5
2022-02-20 11:00:00,58620.5
2022-02-20 12:00:00,60104.5
2022-02-20 13:00:00,59461.5
2022-02-20 14:00:00,55894.5
2022-02-20 15:00:00,53641.5
2022-02-20 16:00:00,52479.5
2022-02-20 17:00:00,52736.0
2022-02-20 18:00:00,56318.5
2022-02-20 19:00:00,61861.5
2022-02-20 20:00:00,60937.5
2022-02-20 21:00:00,58531.0
2022-02-20 22:00:00,56911.0
2022-02-20 23:00:00,58480.5
2022-02-21 00:00:00,57435.5
2022-02-21 01:00:00,54823.5
2022-02-21 02:00:00,54542.0
2022-02-21 03:00:00,52611.5
2022-02-21 04:00:00,51704.5
2022-02-21 05:00:00,53536.0
2022-02-21 06:00:00,58261.5
2022-02-21 07:00:00,64255.0
2022-02-21 08:00:00,67295.5
2022-02-21 09:00:00,68766.0
2022-02-21 10:00:00,68676.5
2022-02-21 11:00:00,68490.0
2022-02-21 12:00:00,69529.5
2022-02-21 13:00:00,69245.5
2022-02-21 14:00:00,67345.0
2022-02-21 15:00:00,65474.5
2022-02-21 16:00:00,64186.0
2022-02-21 17:00:00,63919.5
2022-02-21 18:00:00,66521.5
2022-02-21 19:00:00,71770.0
2022-02-21 20:00:00,69159.0
2022-02-21 21:00:00,64922.0
2022-02-21 22:00:00,62351.0
2022-02-21 23:00:00,63531.0
2022-02-22 00:00:00,61854.5
2022-02-22 01:00:00,58792.0
2022-02-22 02:00:00,58249.0
2022-02-22 03:00:00,56085.5
2022-02-22 04:00:00,54877.5
2022-02-22 05:00:00,56214.5
2022-02-22 06:00:00,60508.0
2022-02-22 07:00:00,66202.5
2022-02-22 08:00:00,68966.5
2022-02-22 09:00:00,69904.5
2022-02-22 10:00:00,69202.5
2022-02-22 11:00:00,68827.0
2022-02-22 12:00:00,69311.0
2022-02-22 13:00:00,68239.0
2022-02-22 14:00:00,65736.5
2022-02-22 15:00:00,63534.5
2022-02-22 16:00:00,62020.0
2022-02-22 17:00:00,61908.0
2022-02-22 18:00:00,64513.0
2022-02-22 19:00:00,69658.0
2022-02-22 20:00:00,67252.0
2022-02-22 21:00:00,63267.0
2022-02-22 22:00:00,60844.5
2022-02-22 23:00:00,61881.0
2022-02-23 00:00:00,60244.5
2022-02-23 01:00:00,57106.0
2022-02-23 02:00:00,56667.5
2022-02-23 03:00:00,54677.0
2022-02-23 04:00:00,53700.5
2022-02-23 05:00:00,55071.5
2022-02-23 06:00:00,59657.0
2022-02-23 07:00:00,65259.0
2022-02-23 08:00:00,68239.5
2022-02-23 09:00:00,69293.0
2022-02-23 10:00:00,68369.5
2022-02-23 11:00:00,67205.5
2022-02-23 12:00:00,66888.5
2022-02-23 13:00:00,65590.0
2022-02-23 14:00:00,63204.5
2022-02-23 15:00:00,61036.5
2022-02-23 16:00:00,59549.5
2022-02-23 17:00:00,59117.0
2022-02-23 18:00:00,62227.5
2022-02-23 19:00:00,68097.0
2022-02-23 20:00:00,66034.0
2022-02-23 21:00:00,62196.5
2022-02-23 22:00:00,60217.0
2022-02-23 23:00:00,61568.0
2022-02-24 00:00:00,60142.5
2022-02-24 01:00:00,57230.0
2022-02-24 02:00:00,56603.5
2022-02-24 03:00:00,54576.5
2022-02-24 04:00:00,53268.5
2022-02-24 05:00:00,54501.0
2022-02-24 06:00:00,58870.5
2022-02-24 07:00:00,64564.0
2022-02-24 08:00:00,67131.0
2022-02-24 09:00:00,68093.5
2022-02-24 10:00:00,67548.5
2022-02-24 11:00:00,67269.5
2022-02-24 12:00:00,67638.5
2022-02-24 13:00:00,67212.5
2022-02-24 14:00:00,65370.5
2022-02-24 15:00:00,63839.5
2022-02-24 16:00:00,62350.0
2022-02-24 17:00:00,62010.5
2022-02-24 18:00:00,64702.5
2022-02-24 19:00:00,70367.5
2022-02-24 20:00:00,68132.0
2022-02-24 21:00:00,64838.0
2022-02-24 22:00:00,62778.0
2022-02-24 23:00:00,63921.0
2022-02-25 00:00:00,62625.0
2022-02-25 01:00:00,59929.0
2022-02-25 02:00:00,59504.0
2022-02-25 03:00:00,57656.5
2022-02-25 04:00:00,56823.5
2022-02-25 05:00:00,58466.0
2022-02-25 06:00:00,63038.0
2022-02-25 07:00:00,68959.5
2022-02-25 08:00:00,71893.5
2022-02-25 09:00:00,72506.5
2022-02-25 10:00:00,70911.5
2022-02-25 11:00:00,69307.5
2022-02-25 12:00:00,68860.5
2022-02-25 13:00:00,67751.5
2022-02-25 14:00:00,64837.0
2022-02-25 15:00:00,62171.5
2022-02-25 16:00:00,60376.5
2022-02-25 17:00:00,59843.5
2022-02-25 18:00:00,62983.0
2022-02-25 19:00:00,68917.0
2022-02-25 20:00:00,67883.0
2022-02-25 21:00:00,65093.0
2022-02-25 22:00:00,63683.0
2022-02-25 23:00:00,65443.5
2022-02-26 00:00:00,64406.5
2022-02-26 01:00:00,61571.5
2022-02-26 02:00:00,60975.5
2022-02-26 03:00:00,58861.5
2022-02-26 04:00:00,57623.0
2022-02-26 05:00:00,58094.0
2022-02-26 06:00:00,59937.0
2022-02-26 07:00:00,62177.5
2022-02-26 08:00:00,63992.0
2022-02-26 09:00:00,65567.0
2022-02-26 10:00:00,64855.0
2022-02-26 11:00:00,63097.0
2022-02-26 12:00:00,63036.5
2022-02-26 13:00:00,61854.5
2022-02-26 14:00:00,58027.5
2022-02-26 15:00:00,55370.0
2022-02-26 16:00:00,53531.5
2022-02-26 17:00:00,53326.5
2022-02-26 18:00:00,56669.0
2022-02-26 19:00:00,63217.0
2022-02-26 20:00:00,63276.5
2022-02-26 21:00:00,61503.0
2022-02-26 22:00:00,60704.0
2022-02-26 23:00:00,63231.5
2022-02-27 00:00:00,62861.0
2022-02-27 01:00:00,60481.5
2022-02-27 02:00:00,59994.0
2022-02-27 03:00:00,57935.0
2022-02-27 04:00:00,56516.5
2022-02-27 05:00:00,56549.0
2022-02-27 06:00:00,57897.0
2022-02-27 07:00:00,59268.0
2022-02-27 08:00:00,60360.5
2022-02-27 09:00:00,62036.5
2022-02-27 10:00:00,62376.5
2022-02-27 11:00:00,61897.0
2022-02-27 12:00:00,62400.5
2022-02-27 13:00:00,60636.0
2022-02-27 14:00:00,56278.5
2022-02-27 15:00:00,53118.5
2022-02-27 16:00:00,51258.5
2022-02-27 17:00:00,51353.5
2022-02-27 18:00:00,55285.5
2022-02-27 19:00:00,63052.0
2022-02-27 20:00:00,63353.5
2022-02-27 21:00:00,61580.0
2022-02-27 22:00:00,60424.0
2022-02-27 23:00:00,62304.5
2022-02-28 00:00:00,61615.5
2022-02-28 01:00:00,59327.0
2022-02-28 02:00:00,59442.5
2022-02-28 03:00:00,57754.5
2022-02-28 04:00:00,57060.5
2022-02-28 05:00:00,58984.5
2022-02-28 06:00:00,64178.0
2022-02-28 07:00:00,70231.5
2022-02-28 08:00:00,72775.0
2022-02-28 09:00:00,72871.5
2022-02-28 10:00:00,70919.5
2022-02-28 11:00:00,68870.0
2022-02-28 12:00:00,68012.0
2022-02-28 13:00:00,66397.0
2022-02-28 14:00:00,63315.5
2022-02-28 15:00:00,60460.0
2022-02-28 16:00:00,58616.5
2022-02-28 17:00:00,58028.0
2022-02-28 18:00:00,61133.5
2022-02-28 19:00:00,68531.5
2022-02-28 20:00:00,67256.5
2022-02-28 21:00:00,63748.0
2022-02-28 22:00:00,61684.5
2022-02-28 23:00:00,63123.5
