,MW
2022-03-01 00:00:00,61945.5
2022-03-01 01:00:00,59535.0
2022-03-01 02:00:00,59366.5
2022-03-01 03:00:00,57303.0
2022-03-01 04:00:00,56323.0
2022-03-01 05:00:00,57827.0
2022-03-01 06:00:00,62641.0
2022-03-01 07:00:00,68650.0
2022-03-01 08:00:00,71126.5
2022-03-01 09:00:00,71360.0
2022-03-01 10:00:00,70111.5
2022-03-01 11:00:00,68743.5
2022-03-01 12:00:00,68247.0
2022-03-01 13:00:00,66896.5
2022-03-01 14:00:00,64213.0
2022-03-01 15:00:00,61783.0
2022-03-01 16:00:00,60475.5
2022-03-01 17:00:00,60431.5
2022-03-01 18:00:00,63353.0
2022-03-01 19:00:00,69104.5
2022-03-01 20:00:00,66973.5
2022-03-01 21:00:00,63128.0
2022-03-01 22:00:00,60826.0
2022-03-01 23:00:00,62086.5
2022-03-02 00:00:00,60573.5
2022-03-02 01:00:00,57908.5
2022-03-02 02:00:00,57583.0
2022-03-02 03:00:00,55498.5
2022-03-02 04:00:00,54349.5
2022-03-02 05:00:00,55582.5
2022-03-02 06:00:00,59983.0
2022-03-02 07:00:00,65214.5
2022-03-02 08:00:00,68198.5
2022-03-02 09:00:00,69715.5
2022-03-02 10:00:00,69603.0
2022-03-02 11:00:00,69111.0
2022-03-02 12:00:00,69202.0
2022-03-02 13:00:00,68131.0
2022-03-02 14:00:00,66012.5
2022-03-02 15:00:00,63536.5
2022-03-02 16:00:00,62081.0
2022-03-02 17:00:00,61380.0
2022-03-02 18:00:00,63695.0
2022-03-02 19:00:00,69203.0
2022-03-02 20:00:00,66888.5
2022-03-02 21:00:00,62878.0
2022-03-02 22:00:00,60719.0
2022-03-02 23:00:00,61934.0
2022-03-03 00:00:00,60479.0
2022-03-03 01:00:00,57804.0
2022-03-03 02:00:00,57409.0
2022-03-03 03:00:00,55114.0
2022-03-03 04:00:00,53752.5
2022-03-03 05:00:00,54789.5
2022-03-03 06:00:00,59395.5
2022-03-03 07:00:00,65040.0
2022-03-03 08:00:00,67321.5
2022-03-03 09:00:00,68071.5
2022-03-03 10:00:00,67265.0
2022-03-03 11:00:00,66423.0
2022-03-03 12:00:00,66503.0
2022-03-03 13:00:00,65379.5
2022-03-03 14:00:00,63139.5
2022-03-03 15:00:00,60900.5
2022-03-03 16:00:00,59304.5
2022-03-03 17:00:00,58820.0
2022-03-03 18:00:00,61550.0
2022-03-03 19:00:00,67254.5
2022-03-03 20:00:00,65329.0
2022-03-03 21:00:00,61403.5
2022-03-03 22:00:00,59393.0
2022-03-03 23:00:00,60768.0
2022-03-04 00:00:00,59350.5
2022-03-04 01:00:00,56613.0
2022-03-04 02:00:00,56237.0
2022-03-04 03:00:00,54095.5
2022-03-04 04:00:00,52999.0
2022-03-04 05:00:00,54352.5
2022-03-04 06:00:00,58892.0
2022-03-04 07:00:00,64444.5
2022-03-04 08:00:00,67131.5
2022-03-04 09:00:00,68300.5
2022-03-04 10:00:00,67626.5
2022-03-04 11:00:00,66740.0
2022-03-04 12:00:00,66771.5
2022-03-04 13:00:00,65700.5
2022-03-04 14:00:00,62998.0
2022-03-04 15:00:00,60829.0
2022-03-04 16:00:00,59278.5
2022-03-04 17:00:00,58980.0
2022-03-04 18:00:00,61342.5
2022-03-04 19:00:00,66406.5
2022-03-04 20:00:00,65128.0
2022-03-04 21:00:00,61957.0
2022-03-04 22:00:00,60344.0
2022-03-04 23:00:00,61993.5
2022-03-05 00:00:00,60629.0
2022-03-05 01:00:00,57462.5
2022-03-05 02:00:00,56688.0
2022-03-05 03:00:00,54442.5
2022-03-05 04:00:00,52898.5
2022-03-05 05:00:00,53122.5
2022-03-05 06:00:00,55058.0
2022-03-05 07:00:00,57203.0
2022-03-05 08:00:00,59419.5
2022-03-05 09:00:00,61679.5
2022-03-05 10:00:00,62050.0
2022-03-05 11:00:00,61500.0
2022-03-05 12:00:00,62256.5
2022-03-05 13:00:00,61591.0
2022-03-05 14:00:00,58146.5
2022-03-05 15:00:00,55806.0
2022-03-05 16:00:00,54131.0
2022-03-05 17:00:00,54040.0
2022-03-05 18:00:00,57071.0
2022-03-05 19:00:00,62723.5
2022-03-05 20:00:00,62352.0
2022-03-05 21:00:00,59944.0
2022-03-05 22:00:00,58981.0
2022-03-05 23:00:00,61295.0
2022-03-06 00:00:00,60710.0
2022-03-06 01:00:00,57914.0
2022-03-06 02:00:00,57196.0
2022-03-06 03:00:00,55012.5
2022-03-06 04:00:00,53533.0
2022-03-06 05:00:00,53577.5
2022-03-06 06:00:00,54686.0
2022-03-06 07:00:00,55711.5
2022-03-06 08:00:00,57264.0
2022-03-06 09:00:00,59268.5
2022-03-06 10:00:00,60374.5
2022-03-06 11:00:00,60423.5
2022-03-06 12:00:00,61142.5
2022-03-06 13:00:00,60132.0
2022-03-06 14:00:00,56127.5
2022-03-06 15:00:00,53330.5
2022-03-06 16:00:00,51942.0
2022-03-06 17:00:00,52308.5
2022-03-06 18:00:00,56301.5
2022-03-06 19:00:00,64051.5
2022-03-06 20:00:00,64906.0
2022-03-06 21:00:00,63027.0
2022-03-06 22:00:00,61582.5
2022-03-06 23:00:00,63568.5
2022-03-07 00:00:00,63007.5
2022-03-07 01:00:00,60826.0
2022-03-07 02:00:00,60935.0
2022-03-07 03:00:00,59485.5
2022-03-07 04:00:00,58963.5
2022-03-07 05:00:00,61277.0
2022-03-07 06:00:00,66602.5
2022-03-07 07:00:00,72546.0
2022-03-07 08:00:00,75269.5
2022-03-07 09:00:00,75001.5
2022-03-07 10:00:00,73239.0
2022-03-07 11:00:00,71275.0
2022-03-07 12:00:00,70410.0
2022-03-07 13:00:00,68842.5
2022-03-07 14:00:00,66033.0
2022-03-07 15:00:00,63362.0
2022-03-07 16:00:00,61808.5
2022-03-07 17:00:00,61732.0
2022-03-07 18:00:00,65278.5
2022-03-07 19:00:00,72943.0
2022-03-07 20:00:00,71483.5
2022-03-07 21:00:00,68436.5
2022-03-07 22:00:00,66469.5
2022-03-07 23:00:00,67625.0
2022-03-08 00:00:00,66525.0
2022-03-08 01:00:00,64158.5
2022-03-08 02:00:00,64194.0
2022-03-08 03:00:00,62342.5
2022-03-08 04:00:00,61299.0
2022-03-08 05:00:00,62848.5
2022-03-08 06:00:00,67724.5
2022-03-08 07:00:00,73217.5
2022-03-08 08:00:00,74966.5
2022-03-08 09:00:00,74579.5
2022-03-08 10:00:00,72756.5
