,MW
2021-03-01 00:00:00,56635.5
2021-03-01 01:00:00,54471.5
2021-03-01 02:00:00,54365.0
2021-03-01 03:00:00,52574.5
2021-03-01 04:00:00,51683.5
2021-03-01 05:00:00,53754.5
2021-03-01 06:00:00,58834.5
2021-03-01 07:00:00,64904.5
2021-03-01 08:00:00,67883.0
2021-03-01 09:00:00,67637.0
2021-03-01 10:00:00,65039.5
2021-03-01 11:00:00,62453.0
2021-03-01 12:00:00,61749.0
2021-03-01 13:00:00,60133.0
2021-03-01 14:00:00,57155.0
2021-03-01 15:00:00,54707.0
2021-03-01 16:00:00,53488.5
2021-03-01 17:00:00,53729.0
2021-03-01 18:00:00,57338.5
2021-03-01 19:00:00,64559.0
2021-03-01 20:00:00,62551.0
2021-03-01 21:00:00,58603.0
2021-03-01 22:00:00,56817.0
2021-03-01 23:00:00,59035.5
2021-03-02 00:00:00,58027.0
2021-03-02 01:00:00,55436.0
2021-03-02 02:00:00,55135.0
2021-03-02 03:00:00,53255.5
2021-03-02 04:00:00,52264.5
2021-03-02 05:00:00,53901.5
2021-03-02 06:00:00,58785.0
2021-03-02 07:00:00,64533.5
2021-03-02 08:00:00,67235.5
2021-03-02 09:00:00,67029.0
2021-03-02 10:00:00,64802.0
2021-03-02 11:00:00,62708.0
2021-03-02 12:00:00,62209.5
2021-03-02 13:00:00,60841.5
2021-03-02 14:00:00,58264.0
2021-03-02 15:00:00,55928.5
2021-03-02 16:00:00,54768.0
2021-03-02 17:00:00,54911.0
2021-03-02 18:00:00,58026.5
2021-03-02 19:00:00,64343.5
2021-03-02 20:00:00,61914.5
2021-03-02 21:00:00,58065.0
2021-03-02 22:00:00,56184.0
2021-03-02 23:00:00,58119.0
2021-03-03 00:00:00,57156.5
2021-03-03 01:00:00,54238.5
2021-03-03 02:00:00,53651.0
2021-03-03 03:00:00,51578.5
2021-03-03 04:00:00,50396.0
2021-03-03 05:00:00,51727.0
2021-03-03 06:00:00,56073.0
2021-03-03 07:00:00,61504.5
2021-03-03 08:00:00,64527.0
2021-03-03 09:00:00,65558.0
2021-03-03 10:00:00,64451.0
2021-03-03 11:00:00,63102.0
2021-03-03 12:00:00,62941.5
2021-03-03 13:00:00,61480.0
2021-03-03 14:00:00,58889.0
2021-03-03 15:00:00,56575.0
2021-03-03 16:00:00,55359.0
2021-03-03 17:00:00,55230.5
2021-03-03 18:00:00,58014.5
2021-03-03 19:00:00,63928.5
2021-03-03 20:00:00,61763.5
2021-03-03 21:00:00,57876.5
2021-03-03 22:00:00,55827.5
2021-03-03 23:00:00,57898.0
2021-03-04 00:00:00,56938.5
2021-03-04 01:00:00,54037.0
2021-03-04 02:00:00,53488.5
2021-03-04 03:00:00,51423.0
2021-03-04 04:00:00,50114.5
2021-03-04 05:00:00,51266.0
2021-03-04 06:00:00,55692.5
2021-03-04 07:00:00,60920.0
2021-03-04 08:00:00,63869.5
2021-03-04 09:00:00,64371.0
2021-03-04 10:00:00,62935.0
2021-03-04 11:00:00,61750.0
2021-03-04 12:00:00,61949.0
2021-03-04 13:00:00,61064.0
2021-03-04 14:00:00,58951.5
2021-03-04 15:00:00,57256.5
2021-03-04 16:00:00,56501.0
2021-03-04 17:00:00,56641.0
2021-03-04 18:00:00,59225.0
2021-03-04 19:00:00,65006.5
2021-03-04 20:00:00,62735.0
2021-03-04 21:00:00,58725.0
2021-03-04 22:00:00,56774.0
2021-03-04 23:00:00,58846.0
2021-03-05 00:00:00,57863.0
2021-03-05 01:00:00,54916.0
2021-03-05 02:00:00,54392.5
2021-03-05 03:00:00,52265.0
2021-03-05 04:00:00,51124.5
2021-03-05 05:00:00,52436.5
2021-03-05 06:00:00,56682.5
2021-03-05 07:00:00,62024.5
2021-03-05 08:00:00,65194.5
2021-03-05 09:00:00,66488.0
2021-03-05 10:00:00,65801.0
2021-03-05 11:00:00,65132.0
2021-03-05 12:00:00,65612.0
2021-03-05 13:00:00,64812.5
2021-03-05 14:00:00,62348.0
2021-03-05 15:00:00,60126.5
2021-03-05 16:00:00,58827.0
2021-03-05 17:00:00,59062.0
2021-03-05 18:00:00,61724.5
2021-03-05 19:00:00,67241.0
2021-03-05 20:00:00,65571.0
2021-03-05 21:00:00,61841.5
2021-03-05 22:00:00,60289.5
2021-03-05 23:00:00,62539.0
2021-03-06 00:00:00,61548.0
2021-03-06 01:00:00,58722.5
2021-03-06 02:00:00,57997.5
2021-03-06 03:00:00,55770.5
2021-03-06 04:00:00,54340.5
2021-03-06 05:00:00,54707.5
2021-03-06 06:00:00,56743.5
2021-03-06 07:00:00,58731.0
2021-03-06 08:00:00,60702.0
2021-03-06 09:00:00,62037.0
2021-03-06 10:00:00,61054.0
2021-03-06 11:00:00,59416.5
2021-03-06 12:00:00,59611.0
2021-03-06 13:00:00,58486.5
2021-03-06 14:00:00,54857.0
2021-03-06 15:00:00,52169.5
2021-03-06 16:00:00,50780.0
2021-03-06 17:00:00,51226.0
2021-03-06 18:00:00,54928.5
2021-03-06 19:00:00,62009.5
2021-03-06 20:00:00,61843.5
2021-03-06 21:00:00,59105.5
2021-03-06 22:00:00,58030.0
2021-03-06 23:00:00,60671.0
2021-03-07 00:00:00,60066.0
2021-03-07 01:00:00,57432.0
2021-03-07 02:00:00,56934.5
2021-03-07 03:00:00,54558.0
2021-03-07 04:00:00,52889.5
2021-03-07 05:00:00,52748.5
2021-03-07 06:00:00,53973.5
2021-03-07 07:00:00,55054.0
2021-03-07 08:00:00,56719.5
2021-03-07 09:00:00,58628.5
2021-03-07 10:00:00,58957.0
2021-03-07 11:00:00,58323.0
2021-03-07 12:00:00,58758.0
2021-03-07 13:00:00,57314.5
2021-03-07 14:00:00,52989.0
2021-03-07 15:00:00,50565.5
2021-03-07 16:00:00,49399.5
2021-03-07 17:00:00,50228.5
2021-03-07 18:00:00,55036.5
2021-03-07 19:00:00,62139.0
2021-03-07 20:00:00,61793.0
2021-03-07 21:00:00,59156.0
2021-03-07 22:00:00,57528.5
2021-03-07 23:00:00,59781.5
2021-03-08 00:00:00,59168.0
2021-03-08 01:00:00,56991.5
2021-03-08 02:00:00,56855.0
2021-03-08 03:00:00,55031.0
2021-03-08 04:00:00,53952.0
2021-03-08 05:00:00,55971.5
2021-03-08 06:00:00,61425.0
2021-03-08 07:00:00,67798.0
2021-03-08 08:00:00,70617.5
2021-03-08 09:00:00,70729.0
2021-03-08 10:00:00,68734.5
2021-03-08 11:00:00,66758.0
2021-03-08 12:00:00,66269.0
2021-03-08 13:00:00,65016.0
2021-03-08 14:00:00,62227.0
2021-03-08 15:00:00,59621.5
2021-03-08 16:00:00,58550.0
2021-03-08 17:00:00,58739.5
2021-03-08 18:00:00,61939.0
2021-03-08 19:00:00,69166.0
2021-03-08 20:00:00,67584.5
2021-03-08 21:00:00,63445.5
2021-03-08 22:00:00,61479.5
2021-03-08 23:00:00,63469.5
2021-03-09 00:00:00,62700.5
2021-03-09 01:00:00,60063.5
2021-03-09 02:00:00,59965.0
2021-03-09 03:00:00,58115.5
2021-03-09 04:00:00,57392.0
2021-03-09 05:00:00,58994.5
2021-03-09 06:00:00,64133.0
2021-03-09 07:00:00,70385.5
2021-03-09 08:00:00,73001.5
2021-03-09 09:00:00,72011.5
2021-03-09 10:00:00,68954.0
2021-03-09 11:00:00,66663.0
2021-03-09 12:00:00,65903.0
2021-03-09 13:00:00,64512.0
2021-03-09 14:00:00,61780.5
2021-03-09 15:00:00,59526.5
2021-03-09 16:00:00,58522.5
2021-03-09 17:00:00,58746.5
2021-03-09 18:00:00,61598.5
2021-03-09 19:00:00,68472.0
2021-03-09 20:00:00,67071.5
2021-03-09 21:00:00,63146.5
2021-03-09 22:00:00,61379.0
2021-03-09 23:00:00,63473.5
2021-03-10 00:00:00,62717.5
2021-03-10 01:00:00,60291.5
2021-03-10 02:00:00,60033.5
2021-03-10 03:00:00,58147.5
2021-03-10 04:00:00,57210.5
2021-03-10 05:00:00,59011.0
2021-03-10 06:00:00,63791.0
2021-03-10 07:00:00,69112.5
2021-03-10 08:00:00,71433.5
2021-03-10 09:00:00,71106.0
2021-03-10 10:00:00,68710.0
2021-03-10 11:00:00,66657.5
2021-03-10 12:00:00,66477.0
2021-03-10 13:00:00,65373.5
2021-03-10 14:00:00,63035.0
2021-03-10 15:00:00,60976.0
2021-03-10 16:00:00,60255.5
2021-03-10 17:00:00,60451.0
2021-03-10 18:00:00,63380.0
2021-03-10 19:00:00,69340.0
2021-03-10 20:00:00,67040.5
2021-03-10 21:00:00,62627.5
2021-03-10 22:00:00,60506.5
2021-03-10 23:00:00,62157.0
2021-03-11 00:00:00,60583.5
2021-03-11 01:00:00,57439.5
2021-03-11 02:00:00,56676.0
2021-03-11 03:00:00,54266.5
2021-03-11 04:00:00,52517.0
2021-03-11 05:00:00,53449.5
2021-03-11 06:00:00,57519.0
2021-03-11 07:00:00,62580.5
2021-03-11 08:00:00,64964.0
2021-03-11 09:00:00,65202.5
2021-03-11 10:00:00,63723.0
2021-03-11 11:00:00,62646.0
2021-03-11 12:00:00,62847.0
2021-03-11 13:00:00,61948.0
2021-03-11 14:00:00,60164.0
2021-03-11 15:00:00,58712.5
2021-03-11 16:00:00,57718.5
2021-03-11 17:00:00,57851.5
2021-03-11 18:00:00,60128.0
2021-03-11 19:00:00,65638.5
2021-03-11 20:00:00,64233.5
2021-03-11 21:00:00,60146.0
2021-03-11 22:00:00,58128.5
2021-03-11 23:00:00,60016.0
2021-03-12 00:00:00,59032.5
2021-03-12 01:00:00,56404.0
2021-03-12 02:00:00,55886.0
2021-03-12 03:00:00,53696.5
2021-03-12 04:00:00,52559.5
2021-03-12 05:00:00,53813.0
2021-03-12 06:00:00,58432.0
2021-03-12 07:00:00,63692.0
2021-03-12 08:00:00,66014.5
2021-03-12 09:00:00,65724.0
2021-03-12 10:00:00,63745.5
2021-03-12 11:00:00,62660.5
2021-03-12 12:00:00,63139.0
2021-03-12 13:00:00,62442.0
2021-03-12 14:00:00,60012.5
2021-03-12 15:00:00,57791.0
2021-03-12 16:00:00,56769.5
2021-03-12 17:00:00,56722.5
2021-03-12 18:00:00,59096.0
2021-03-12 19:00:00,64190.0
2021-03-12 20:00:00,63312.0
2021-03-12 21:00:00,59754.5
2021-03-12 22:00:00,58202.5
2021-03-12 23:00:00,60193.0
2021-03-13 00:00:00,58970.5
2021-03-13 01:00:00,55829.5
2021-03-13 02:00:00,54832.0
2021-03-13 03:00:00,52478.5
2021-03-13 04:00:00,50877.0
2021-03-13 05:00:00,50980.5
2021-03-13 06:00:00,52583.0
2021-03-13 07:00:00,53938.0
2021-03-13 08:00:00,55968.0
2021-03-13 09:00:00,57532.0
2021-03-13 10:00:00,57332.0
2021-03-13 11:00:00,56772.5
2021-03-13 12:00:00,57953.0
2021-03-13 13:00:00,57416.0
2021-03-13 14:00:00,54427.0
2021-03-13 15:00:00,52520.5
2021-03-13 16:00:00,51467.0
2021-03-13 17:00:00,52147.5
2021-03-13 18:00:00,55005.5
2021-03-13 19:00:00,60249.5
2021-03-13 20:00:00,60512.0
2021-03-13 21:00:00,57658.0
2021-03-13 22:00:00,56499.5
2021-03-13 23:00:00,59045.5
2021-03-14 00:00:00,58365.5
2021-03-14 01:00:00,55664.0
2021-03-14 02:00:00,54833.0
2021-03-14 03:00:00,52440.5
2021-03-14 04:00:00,50656.0
2021-03-14 05:00:00,50556.0
2021-03-14 06:00:00,51438.5
2021-03-14 07:00:00,51998.0
2021-03-14 08:00:00,53472.5
2021-03-14 09:00:00,55217.0
2021-03-14 10:00:00,55937.5
2021-03-14 11:00:00,56100.0
2021-03-14 12:00:00,57371.0
2021-03-14 13:00:00,55914.0
2021-03-14 14:00:00,52116.5
2021-03-14 15:00:00,49859.5
2021-03-14 16:00:00,48788.0
2021-03-14 17:00:00,49688.0
2021-03-14 18:00:00,53752.0
2021-03-14 19:00:00,60508.0
2021-03-14 20:00:00,60740.5
2021-03-14 21:00:00,57915.0
2021-03-14 22:00:00,56229.0
2021-03-14 23:00:00,58444.5
2021-03-15 00:00:00,57770.5
2021-03-15 01:00:00,55408.5
2021-03-15 02:00:00,54841.5
2021-03-15 03:00:00,52657.0
2021-03-15 04:00:00,51415.0
2021-03-15 05:00:00,52882.0
2021-03-15 06:00:00,57674.0
2021-03-15 07:00:00,62919.5
2021-03-15 08:00:00,65941.5
2021-03-15 09:00:00,67037.0
2021-03-15 10:00:00,66491.0
2021-03-15 11:00:00,65793.0
2021-03-15 12:00:00,66355.0
2021-03-15 13:00:00,65694.5
2021-03-15 14:00:00,63510.5
2021-03-15 15:00:00,61237.5
2021-03-15 16:00:00,59972.5
2021-03-15 17:00:00,59616.0
2021-03-15 18:00:00,61734.5
2021-03-15 19:00:00,67428.0
2021-03-15 20:00:00,65871.5
2021-03-15 21:00:00,61551.5
2021-03-15 22:00:00,59412.0
2021-03-15 23:00:00,61262.5
2021-03-16 00:00:00,60072.0
2021-03-16 01:00:00,57413.0
2021-03-16 02:00:00,56915.0
2021-03-16 03:00:00,54788.5
2021-03-16 04:00:00,53778.5
2021-03-16 05:00:00,55238.0
2021-03-16 06:00:00,59906.0
2021-03-16 07:00:00,65208.0
2021-03-16 08:00:00,67855.0
2021-03-16 09:00:00,67799.5
2021-03-16 10:00:00,66248.0
2021-03-16 11:00:00,65281.0
2021-03-16 12:00:00,65719.5
2021-03-16 13:00:00,65007.5
2021-03-16 14:00:00,63031.0
2021-03-16 15:00:00,61185.0
2021-03-16 16:00:00,60075.0
2021-03-16 17:00:00,60365.0
2021-03-16 18:00:00,62187.0
2021-03-16 19:00:00,67035.0
2021-03-16 20:00:00,65510.0
2021-03-16 21:00:00,61398.0
