,Consommation_MW
0,58754.229166666664
1,59028.645833333336
2,58322.770833333336
3,58353.333333333336
4,60596.4375
5,57728.6875
6,56290.5625
7,62564.083333333336
8,63604.645833333336
9,63743.395833333336
10,59962.458333333336
11,59720.1875
12,55541.4375
13,54500.1875
14,61019.854166666664
15,61749.229166666664
16,61875.3125
17,63976.75
18,63825.9375
19,59175.229166666664
20,57065.583333333336
21,62148.125
22,60304.583333333336
23,57841.666666666664
24,56204.791666666664
25,55805.708333333336
26,51060.0625
27,48194.13043478261
28,51388.083333333336
29,49357.479166666664
30,47950.270833333336
31,47832.229166666664
32,47351.0
33,46311.375
34,45962.520833333336
35,48573.666666666664
36,58475.020833333336
37,61547.895833333336
38,59230.541666666664
39,55885.916666666664
40,50001.791666666664
41,50078.270833333336
42,58434.625
43,58711.833333333336
44,58225.208333333336
45,58544.8125
46,58658.875
47,52824.270833333336
48,49707.645833333336
49,53811.604166666664
50,52614.208333333336
51,51359.020833333336
52,50192.333333333336
53,48597.0625
54,43048.4375
55,41220.395833333336
56,47968.6875
57,48943.416666666664
58,49369.916666666664
59,50532.625
60,50738.416666666664
61,45169.833333333336
62,45309.354166666664
63,51010.041666666664
64,51602.3125
65,51539.291666666664
66,53110.458333333336
67,50806.895833333336
68,42689.3125
69,39423.770833333336
70,45653.5625
71,47741.145833333336
72,48509.520833333336
73,43717.145833333336
74,45621.375
75,44075.375
76,42567.166666666664
77,48594.791666666664
78,49648.354166666664
79,49849.9375
80,49420.916666666664
81,48332.979166666664
82,43859.770833333336
83,41324.333333333336
84,43597.666666666664
85,49264.9375
86,49602.6875
87,48138.8125
88,46030.395833333336
89,40389.5
90,37939.770833333336
91,43852.208333333336
92,44973.041666666664
93,45256.354166666664
94,45520.1875
95,44927.229166666664
96,39851.6875
97,37901.5625
98,44228.145833333336
99,45389.583333333336
100,45795.916666666664
101,46080.958333333336
102,45788.833333333336
103,40936.916666666664
104,38675.166666666664
105,45799.666666666664
106,47352.416666666664
107,47946.8125
108,47192.0625
109,46039.9375
110,41231.3125
111,38444.3125
112,44648.083333333336
113,45516.041666666664
114,45665.333333333336
115,45452.395833333336
116,44847.729166666664
117,40317.270833333336
118,38415.958333333336
119,44568.8125
120,45594.375
121,45629.395833333336
122,46018.854166666664
123,45959.916666666664
124,40925.75
125,38509.416666666664
126,45019.25
127,45806.270833333336
128,45986.895833333336
129,45972.729166666664
130,45568.395833333336
131,40853.958333333336
132,38656.8125
133,44852.8125
134,45320.041666666664
135,40284.5
136,44809.458333333336
137,44845.833333333336
138,40594.604166666664
139,38726.1875
140,45714.145833333336
141,47128.916666666664
142,47481.083333333336
143,47673.375
144,46914.875
145,41237.9375
146,38785.0
147,44645.354166666664
148,45711.520833333336
149,45249.0
150,45222.270833333336
151,44044.583333333336
152,39721.645833333336
153,36716.833333333336
154,40912.145833333336
155,41803.354166666664
156,41639.479166666664
157,41068.1875
158,40451.333333333336
159,37244.375
160,35502.375
161,39637.75
162,40946.4375
163,41808.291666666664
164,42395.083333333336
165,42587.541666666664
166,40146.291666666664
167,37757.916666666664
168,40818.770833333336
169,41677.791666666664
170,42035.666666666664
171,42231.3125
172,42444.5625
173,39482.833333333336
174,37494.5
175,42711.145833333336
176,43469.1875
177,43833.0625
178,44505.770833333336
179,43960.5
180,39677.166666666664
181,37978.020833333336
182,44257.916666666664
183,45638.5625
184,46422.833333333336
185,46433.895833333336
186,45946.1875
187,41106.208333333336
188,39339.854166666664
189,46007.770833333336
190,47206.0625
191,47180.979166666664
192,46892.916666666664
193,45994.416666666664
194,40723.166666666664
195,38726.895833333336
196,45210.0
197,46685.75
198,46798.166666666664
199,46331.895833333336
200,45484.479166666664
201,40720.791666666664
202,38638.729166666664
203,44867.25
204,45931.979166666664
205,46088.020833333336
206,46220.958333333336
207,45682.3125
208,41155.125
209,38602.229166666664
210,45201.020833333336
211,46700.583333333336
212,46909.916666666664
213,47482.875
214,47705.854166666664
215,42954.979166666664
216,40964.708333333336
217,47268.604166666664
218,48914.958333333336
219,49847.875
220,49108.979166666664
221,49127.041666666664
222,44081.5
223,42711.104166666664
224,49541.875
225,51577.583333333336
226,51877.9375
227,53024.020833333336
228,52381.895833333336
229,47414.125
230,45798.833333333336
231,52225.604166666664
232,50324.0
233,49926.0625
234,50623.375
235,52438.333333333336
236,48250.291666666664
237,47291.416666666664
238,53073.833333333336
239,53397.0625
240,53587.895833333336
241,53578.229166666664
242,52369.6875
243,47370.958333333336
244,44514.625
245,46753.083333333336
246,54789.395833333336
247,57528.6875
248,60109.333333333336
249,60260.145833333336
250,56824.645833333336
251,53738.25
252,59847.229166666664
253,62167.6875
254,63587.041666666664
255,57043.75
256,59311.25
257,53766.895833333336
258,51292.916666666664
259,60466.020833333336
260,62513.5625
261,62405.4375
262,62738.4375
263,62398.25
264,58163.875
265,57176.958333333336
266,65535.4375
267,67911.83333333333
268,68533.1875
269,69202.72916666667
270,69477.22916666667
271,65230.9375
272,65162.520833333336
273,73443.3125
274,74557.1875
275,70035.70833333333
276,71638.14583333333
277,73528.66666666667
278,63009.166666666664
279,63515.395833333336
280,70508.45833333333
281,71428.79166666667
282,71555.14583333333
283,73310.9375
284,72124.14583333333
285,66446.52083333333
286,61999.270833333336
287,67742.79166666667
288,70153.64583333333
289,70191.02083333333
290,69848.77083333333
291,69615.52083333333
292,65147.270833333336
293,64613.729166666664
294,72397.4375
295,75135.5625
296,77176.85416666667
297,71287.20833333333
298,61405.395833333336
299,53700.354166666664
300,53840.479166666664
301,57917.583333333336
302,57600.958333333336
303,55462.354166666664
304,52779.1875
305,53340.208333333336
306,50428.875
307,52241.958333333336
308,59440.666666666664
309,62172.333333333336
310,68310.625
311,72582.83333333333
312,72323.16666666667
313,65012.6875
314,62386.416666666664
315,69661.5
316,72626.16666666667
317,75137.58333333333
318,76418.20833333333
319,77333.27083333333
320,72926.47916666667
321,70769.58333333333
322,74724.75
323,75092.5625
324,74998.0625
325,73762.52083333333
326,75227.97916666667
327,70442.91666666667
328,67447.8125
329,74805.52083333333
330,77812.29166666667
331,78430.0
332,77486.35416666667
333,74348.79166666667
334,67034.04166666667
335,62109.458333333336
336,69758.875
337,71707.8125
338,67140.22916666667
339,67477.27083333333
340,66367.20833333333
341,61984.166666666664
342,61376.6875
343,64713.0
344,66443.3125
345,66095.10416666667
346,65712.95833333333
347,66581.25
348,64278.979166666664
349,60693.166666666664
350,64476.854166666664
351,66843.0
352,65060.375
353,60733.25
354,59896.6875
355,58372.666666666664
356,56097.291666666664
357,63264.666666666664
358,63660.354166666664
359,62134.020833333336
360,63039.979166666664
361,64560.979166666664
362,60621.041666666664
363,59134.0625
364,63930.6875
